Issue key,Issue id,Parent id,Project key,Project name,Project type,Project lead,Project description,Project url,Custom field (Epic Name),Issue Type,Priority,Summary,Assignee,Custom field (Squad),Custom field (Team),Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Resolution,Custom field (Story Points)
EFDDH-962,7904226,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Orchestration : 223 - FLAT Dag's Configuration,jillelam,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,5
EFDDH-961,7903679,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 -FLAT XFM_OUT Layer - string_compare macro to be used,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-959,7898744,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"ARF223: Analysis of FLAT layers - Check if any missing models in IFC, SRC IN",dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-958,7898724,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Roles and Permissions for DATA Engineers in Dev,dabkea,Black Panther Core,,To Do,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 19,,,,,,,,,1
EFDDH-957,7898710,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 - ECDM Analysis,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-956,7898577,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Sourcing: 223 - 14+1 Reference Data - QR PROD implementation,thirunab,Black Panther Core,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,,,Done,5
EFDDH-955,7898351,7404605,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Sub Task,High,ARF223: DataSourcing: TMPC DGCP data discrepancies,thirunab,Black Panther Core,,In Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,
EFDDH-951,7891714,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:DataSourcing: GearBox-Lex - recon requirements daily vs monthly,kummarip,,,Story Done,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,,,Done,
EFDDH-950,7891671,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223: FT: ProdBug:  ARBLS_PIVOT - data mismatch between On prem and regDH GCP,kummarip,Black Panther Core,,In Test,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-949,7887832,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Build: 223 - Apply Macro (XFM_IN) to compare lhs and rhs with same case,agarwr11,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,2
EFDDH-945,7886847,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223: FT: ProdBug: - secure by RESI - - ARBLS DRV2_PIVOT  is not getting loaded in PROD,kummarip,Black Panther Core,,In Test,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-943,7882357,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Framework: New Metadata Framework by Alex - Testing new SQLs on BQ,dabkea,,,To Do,BP: EFDDH Sprint 15,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,,1
EFDDH-942,7882353,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223 - Helping business with GCP,dabkea,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,,,,,,,,,,,Done,1
EFDDH-941,7882299,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Misc: Retro Action: Virtual Drinks Session,agarwr11,,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,8
EFDDH-940,7882288,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Misc: Retro Action: Dedicated Tester for the team,awales,,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,
EFDDH-939,7882285,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"Misc: Retro Action: Review process need to be finalised,  documented and followed.",kummarip,,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,8
EFDDH-938,7881840,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Misc: Retro Action: Schedule or Automate the SIT deployment . Weekly/Bi-Weekly,nguyt120,,,Backlog,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,,,,5
EFDDH-937,7881737,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,"ARF223 - Prod Bugs V2.0.0 - REF Data for REF36,REF45 not loaded into APP_VAL_PIVOT",xavierl,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,,,Done,3
EFDDH-936,7881553,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,"BP: Misc: Everyone should respond to meeting invite, inform in case of not attending, and we should cancel meeting if key people are not there",,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,
EFDDH-935,7881550,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,BP:Misc: Leave plans to be notified 2 weeks in advance where possible,,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,
EFDDH-934,7881549,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,BP:Misc: Scope for the sprint to be based on capacity of the resource,kummarip,Black Panther Core,,Backlog,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,,
EFDDH-933,7881525,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,BP:Misc: Direction with roadmap for BP squad,awales,Black Panther Core,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,
EFDDH-932,7881523,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,BP:Misc: Dedicated PO for BP squad,awales,Black Panther Core,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,
EFDDH-931,7877130,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223: New Metadata Repo,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-930,7876305,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Build: DGCP Dev Access to litvinc and veiserp3,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,5
EFDDH-929,7871886,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - Count mismatch with Prod CCY_CCY_CAL_PIVOT,dabkea,,,Story Done,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,,,Done,3
EFDDH-927,7871538,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223 - Prod Bugs V2.0.0 - Count mismatch in ARFCLTEFS_VAL_PIVOT for ETL_ID = 1260,dabkea,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,,,,,,,Done,1
EFDDH-925,7871534,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - Count mismatch in SEC_VAL_PIVOT for ETL_ID = 1216,shaiks5,,,In Test,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,3
EFDDH-924,7871532,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - CLVR Python error,raja19,,,Story Done,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,,,Done,3
EFDDH-923,7871530,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - Count mismatch in ARBLS_PTY_PIVOT for ETL_ID = 1662,thirunab,,,In Test,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,3
EFDDH-922,7871527,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - Count mismatch in ARBLS_PIVOT for ETL_ID = 1207,thirunab,,,In Test,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,3
EFDDH-920,7871517,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223 - Prod Bugs V2.0.0 - No data in APP_DRV2_PIVOT,muralib2,,,Story Done,BP: EFDDH Sprint 15,,,,,,,,,,,,,,,,,,Fixed,3
EFDDH-918,7865020,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Prod-Bugs: 223 -BQ Translator issue for xfm_in_CAP_CLVR_112_OFI_CL,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,2
EFDDH-917,7861773,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Prod-Bugs: 223 - Prod-bug - Macro to compare lhs and rhs with same case,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-916,7860047,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Local Development Setup:  Composer Airflow Setup with DAG factory ,mahajaa4,,,To Do,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 19,,,,,,,,,,,,,,5
EFDDH-915,7860205,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Prod-Bugs: 223 - Prod-bug - CLVR Proc not populating data,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-914,7854135,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,SWG Integration with Codefresh and Testing,mahajaa4,,,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,Done,1
EFDDH-913,7854118,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Dry Run Plan and Implementation in  Pre- Production environment,mahajaa4,,,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,Done,5
EFDDH-912,7854267,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223: FLAT : 223 - dbt loom issue,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,1
EFDDH-911,7849030,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Updating the confluence page with the latest changes ,agarwr11,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,5
EFDDH-910,7848750,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:Build: Airflow local installation and execution,mahajaa4,Black Panther Core,,To Do,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,5
EFDDH-909,7848528,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"ARF223:Deployment: 223 - Test plan, test execution - x ray tests",kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,5
EFDDH-908,7848526,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Deployment: 223 - Release 2 TSR,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,Done,5
EFDDH-907,7848525,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Misc: 223 - showcase prep ,kummarip,Black Panther Core,,To Do,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,2
EFDDH-906,7848220,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform:Build: Google Service Account to have Google Create Group Access ,raja19,,,Story Done,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,,Done,3
EFDDH-905,7847538,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low, ARF223:Build: 223 - ECDM and REF Data ARF223 orch intgeration with QR dataaset outputs ,muralib2,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,5
EFDDH-903,7847218,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Highest,ARF223: Prod Bug - Remove Collation from REF Dataset and Tables,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,1
EFDDH-901,7845785,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform Build: Fix the Issue with Managed Datasets cleanup job,mahajaa4,,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,1
EFDDH-900,7845773,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,Platform:Build: FLAT Pipeline and Automation to Higher Envs,thiruns1,,,Story in Progress,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,5
EFDDH-899,7845766,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform:Build: DGCP Check SIT Testing for all 80 files,mahajaa4,,,Backlog,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,3
EFDDH-898,7845765,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Remove the K8 Operator for all DAG and pipeline using custom operator,mahajaa4,,,Backlog,,,,,,,,,,,,,,,,,,,,
EFDDH-897,7845763,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform: Build - End to END K8 Setup for REGDH APP,mahajaa4,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-896,7844929,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Highest,ARF223: Prod Bug - XFM IN perf issue xfm_in_ARBLS_VAL_CAPIDSAU_VAL,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,1
EFDDH-895,7844715,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform:Control/IAM: ENV Specific GMS Personas,mahajaa4,,,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,Done,3
EFDDH-894,7844641,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Deployment - PROD release 2 prep and activities ,bvineeth,Black Panther Core,,Story Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,,,,Done,
EFDDH-893,7843953,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Highest,ARF223: Prod Bug - XFM IN perf issue xfm_in_CAPILPAU_VAL,muralib2,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,1
EFDDH-892,7843945,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Highest,ARF223: Prod Bug - collation issue fix,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,1
EFDDH-891,7843981,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,ARF223: Find time taking queries and redesign them to improve performance (feed it back to metadata excel changes),dabkea,,,Backlog,BP: EFDDH Sprint 17,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,,,,3
EFDDH-888,7843969,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Check datatype all columns in PIVOT table and cast it only at IFC level and remove all casting in between,dabkea,,,Backlog,,,,,,,,,,,,,,,,,,,,8
EFDDH-887,7839867,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:BRS: 223 - SIT Batch Run,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,5
EFDDH-885,7839114,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Default Collation at Table Level for Ref Data,mahajaa4,,,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,Done,2
EFDDH-884,7839108,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform: Build - Fix issues in SIT Deployment for release v2.0.0,mahajaa4,,,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,Done,2
EFDDH-883,7839206,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Validate all Date and Numeric columns at IFC layer,dabkea,,,Backlog,,,,,,,,,,,,,,,,,,,,5
EFDDH-882,7839203,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223: Get latest cut from MD framework for 223 SQLs and add delta to GCP project,dabkea,,,Backlog,,,,,,,,,,,,,,,,,,,,3
EFDDH-881,7838130,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Highest,ARF223: SIT Issue - Handle SIT deployment failures,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,Done,1
EFDDH-880,7835187,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Medium,Platform:BAU: Unable to run queries in GCP using anz-fin-regdh-dev project,,Black Panther Core,,Backlog,,,,,,,,,,,,,,,,,,,,
